persona_id,age,age_bucket,gender,race_ethnicity,education,income_bracket,ses,party_id,ideology,persona_text
972,68,65+,female,White,Bachelor's,25k-50k,Upper-middle,Independent / Other,Very liberal,"68-year-old White female American with bachelor's education, 25k-50k income, Independent / Other party identification, and a very liberal political ideology."
973,33,30-44,male,White,No HS / HS only,<25k,Low,Republican,Conservative,"33-year-old White male American with no hs / hs only education, <25k income, Republican party identification, and a conservative political ideology."
974,41,30-44,male,White,No HS / HS only,150k+,High,Independent / Other,Liberal,"41-year-old White male American with no hs / hs only education, 150k+ income, Independent / Other party identification, and a liberal political ideology."
975,39,30-44,female,White,Some college / Associate,150k+,High,Independent / Other,Moderate,"39-year-old White female American with some college / associate education, 150k+ income, Independent / Other party identification, and a moderate political ideology."
976,32,30-44,male,White,No HS / HS only,100k-150k,Upper-middle,Independent / Other,Conservative,"32-year-old White male American with no hs / hs only education, 100k-150k income, Independent / Other party identification, and a conservative political ideology."
977,71,65+,male,Hispanic,Bachelor's,100k-150k,High,Independent / Other,Liberal,"71-year-old Hispanic male American with bachelor's education, 100k-150k income, Independent / Other party identification, and a liberal political ideology."
978,89,65+,female,White,Some college / Associate,50k-75k,Middle,Republican,Moderate,"89-year-old White female American with some college / associate education, 50k-75k income, Republican party identification, and a moderate political ideology."
979,60,45-64,male,White,Some college / Associate,75k-100k,Upper-middle,Independent / Other,Moderate,"60-year-old White male American with some college / associate education, 75k-100k income, Independent / Other party identification, and a moderate political ideology."
980,79,65+,female,Black,Some college / Associate,25k-50k,Lower-middle,Independent / Other,Moderate,"79-year-old Black female American with some college / associate education, 25k-50k income, Independent / Other party identification, and a moderate political ideology."
981,38,30-44,male,White,Bachelor's,25k-50k,Upper-middle,Republican,Liberal,"38-year-old White male American with bachelor's education, 25k-50k income, Republican party identification, and a liberal political ideology."
982,55,45-64,female,White,Some college / Associate,25k-50k,Lower-middle,Independent / Other,Liberal,"55-year-old White female American with some college / associate education, 25k-50k income, Independent / Other party identification, and a liberal political ideology."
983,21,18-29,female,White,No HS / HS only,150k+,High,Democrat,Moderate,"21-year-old White female American with no hs / hs only education, 150k+ income, Democrat party identification, and a moderate political ideology."
984,22,18-29,male,Asian,No HS / HS only,<25k,Low,Democrat,Liberal,"22-year-old Asian male American with no hs / hs only education, <25k income, Democrat party identification, and a liberal political ideology."
985,34,30-44,female,Hispanic,Bachelor's,100k-150k,High,Democrat,Moderate,"34-year-old Hispanic female American with bachelor's education, 100k-150k income, Democrat party identification, and a moderate political ideology."
986,87,65+,female,Hispanic,Graduate degree,<25k,Upper-middle,Democrat,Conservative,"87-year-old Hispanic female American with graduate degree education, <25k income, Democrat party identification, and a conservative political ideology."
987,36,30-44,male,Black,Bachelor's,<25k,Upper-middle,Independent / Other,Very conservative,"36-year-old Black male American with bachelor's education, <25k income, Independent / Other party identification, and a very conservative political ideology."
988,72,65+,male,White,Bachelor's,50k-75k,Upper-middle,Republican,Conservative,"72-year-old White male American with bachelor's education, 50k-75k income, Republican party identification, and a conservative political ideology."
989,59,45-64,male,White,No HS / HS only,100k-150k,Upper-middle,Republican,Very conservative,"59-year-old White male American with no hs / hs only education, 100k-150k income, Republican party identification, and a very conservative political ideology."
990,43,30-44,female,White,No HS / HS only,50k-75k,Middle,Democrat,Very conservative,"43-year-old White female American with no hs / hs only education, 50k-75k income, Democrat party identification, and a very conservative political ideology."
991,76,65+,female,White,Some college / Associate,75k-100k,Upper-middle,Republican,Conservative,"76-year-old White female American with some college / associate education, 75k-100k income, Republican party identification, and a conservative political ideology."
992,30,30-44,male,White,No HS / HS only,<25k,Low,Independent / Other,Very conservative,"30-year-old White male American with no hs / hs only education, <25k income, Independent / Other party identification, and a very conservative political ideology."
993,64,45-64,male,White,Some college / Associate,25k-50k,Lower-middle,Independent / Other,Very liberal,"64-year-old White male American with some college / associate education, 25k-50k income, Independent / Other party identification, and a very liberal political ideology."
994,55,45-64,female,White,Some college / Associate,100k-150k,Upper-middle,Democrat,Very liberal,"55-year-old White female American with some college / associate education, 100k-150k income, Democrat party identification, and a very liberal political ideology."
995,29,18-29,male,Hispanic,No HS / HS only,25k-50k,Lower-middle,Independent / Other,Moderate,"29-year-old Hispanic male American with no hs / hs only education, 25k-50k income, Independent / Other party identification, and a moderate political ideology."
996,38,30-44,female,White,No HS / HS only,50k-75k,Middle,Democrat,Conservative,"38-year-old White female American with no hs / hs only education, 50k-75k income, Democrat party identification, and a conservative political ideology."
997,19,18-29,female,White,Some college / Associate,75k-100k,Upper-middle,Republican,Very conservative,"19-year-old White female American with some college / associate education, 75k-100k income, Republican party identification, and a very conservative political ideology."
998,74,65+,female,White,Bachelor's,50k-75k,Upper-middle,Independent / Other,Very conservative,"74-year-old White female American with bachelor's education, 50k-75k income, Independent / Other party identification, and a very conservative political ideology."
999,59,45-64,male,White,No HS / HS only,<25k,Low,Democrat,Moderate,"59-year-old White male American with no hs / hs only education, <25k income, Democrat party identification, and a moderate political ideology."
1000,63,45-64,male,Black,Some college / Associate,50k-75k,Middle,Independent / Other,Liberal,"63-year-old Black male American with some college / associate education, 50k-75k income, Independent / Other party identification, and a liberal political ideology."
1001,41,30-44,male,Black,Bachelor's,25k-50k,Upper-middle,Independent / Other,Conservative,"41-year-old Black male American with bachelor's education, 25k-50k income, Independent / Other party identification, and a conservative political ideology."
1002,27,18-29,female,Hispanic,Some college / Associate,150k+,High,Democrat,Moderate,"27-year-old Hispanic female American with some college / associate education, 150k+ income, Democrat party identification, and a moderate political ideology."
1003,72,65+,female,Black,No HS / HS only,100k-150k,Upper-middle,Republican,Conservative,"72-year-old Black female American with no hs / hs only education, 100k-150k income, Republican party identification, and a conservative political ideology."
1004,51,45-64,female,Asian,Some college / Associate,100k-150k,Upper-middle,Democrat,Moderate,"51-year-old Asian female American with some college / associate education, 100k-150k income, Democrat party identification, and a moderate political ideology."
1005,55,45-64,male,White,No HS / HS only,25k-50k,Lower-middle,Democrat,Very liberal,"55-year-old White male American with no hs / hs only education, 25k-50k income, Democrat party identification, and a very liberal political ideology."
1006,59,45-64,male,White,Bachelor's,100k-150k,High,Republican,Very liberal,"59-year-old White male American with bachelor's education, 100k-150k income, Republican party identification, and a very liberal political ideology."
1007,75,65+,female,Hispanic,Some college / Associate,50k-75k,Middle,Democrat,Moderate,"75-year-old Hispanic female American with some college / associate education, 50k-75k income, Democrat party identification, and a moderate political ideology."
1008,37,30-44,male,Black,Bachelor's,<25k,Upper-middle,Democrat,Very liberal,"37-year-old Black male American with bachelor's education, <25k income, Democrat party identification, and a very liberal political ideology."
1009,57,45-64,female,White,Bachelor's,<25k,Upper-middle,Democrat,Moderate,"57-year-old White female American with bachelor's education, <25k income, Democrat party identification, and a moderate political ideology."
1010,62,45-64,female,White,Bachelor's,100k-150k,High,Independent / Other,Moderate,"62-year-old White female American with bachelor's education, 100k-150k income, Independent / Other party identification, and a moderate political ideology."
1011,77,65+,male,Hispanic,Some college / Associate,50k-75k,Middle,Democrat,Moderate,"77-year-old Hispanic male American with some college / associate education, 50k-75k income, Democrat party identification, and a moderate political ideology."
1012,44,30-44,female,White,No HS / HS only,50k-75k,Middle,Independent / Other,Moderate,"44-year-old White female American with no hs / hs only education, 50k-75k income, Independent / Other party identification, and a moderate political ideology."
1013,52,45-64,female,Asian,No HS / HS only,100k-150k,Upper-middle,Independent / Other,Conservative,"52-year-old Asian female American with no hs / hs only education, 100k-150k income, Independent / Other party identification, and a conservative political ideology."
1014,55,45-64,female,White,Some college / Associate,75k-100k,Upper-middle,Independent / Other,Moderate,"55-year-old White female American with some college / associate education, 75k-100k income, Independent / Other party identification, and a moderate political ideology."
1015,31,30-44,female,White,No HS / HS only,25k-50k,Lower-middle,Democrat,Moderate,"31-year-old White female American with no hs / hs only education, 25k-50k income, Democrat party identification, and a moderate political ideology."
1016,22,18-29,female,Hispanic,No HS / HS only,<25k,Low,Democrat,Liberal,"22-year-old Hispanic female American with no hs / hs only education, <25k income, Democrat party identification, and a liberal political ideology."
1017,68,65+,male,Hispanic,Bachelor's,150k+,High,Republican,Liberal,"68-year-old Hispanic male American with bachelor's education, 150k+ income, Republican party identification, and a liberal political ideology."
1018,40,30-44,female,Hispanic,Bachelor's,150k+,High,Independent / Other,Moderate,"40-year-old Hispanic female American with bachelor's education, 150k+ income, Independent / Other party identification, and a moderate political ideology."
1019,75,65+,male,Other / Mixed,Some college / Associate,<25k,Low,Democrat,Very conservative,"75-year-old Other / Mixed male American with some college / associate education, <25k income, Democrat party identification, and a very conservative political ideology."
1020,52,45-64,female,White,Bachelor's,<25k,Upper-middle,Democrat,Conservative,"52-year-old White female American with bachelor's education, <25k income, Democrat party identification, and a conservative political ideology."
1021,36,30-44,female,Hispanic,Some college / Associate,<25k,Low,Republican,Liberal,"36-year-old Hispanic female American with some college / associate education, <25k income, Republican party identification, and a liberal political ideology."
1022,18,18-29,female,White,Bachelor's,150k+,High,Republican,Conservative,"18-year-old White female American with bachelor's education, 150k+ income, Republican party identification, and a conservative political ideology."
1023,42,30-44,female,Hispanic,Some college / Associate,150k+,High,Independent / Other,Liberal,"42-year-old Hispanic female American with some college / associate education, 150k+ income, Independent / Other party identification, and a liberal political ideology."
1024,75,65+,female,White,No HS / HS only,<25k,Low,Independent / Other,Very conservative,"75-year-old White female American with no hs / hs only education, <25k income, Independent / Other party identification, and a very conservative political ideology."
1025,52,45-64,male,Hispanic,Some college / Associate,25k-50k,Lower-middle,Republican,Very liberal,"52-year-old Hispanic male American with some college / associate education, 25k-50k income, Republican party identification, and a very liberal political ideology."
1026,21,18-29,male,White,Graduate degree,150k+,High,Democrat,Liberal,"21-year-old White male American with graduate degree education, 150k+ income, Democrat party identification, and a liberal political ideology."
1027,51,45-64,male,White,No HS / HS only,75k-100k,Upper-middle,Democrat,Conservative,"51-year-old White male American with no hs / hs only education, 75k-100k income, Democrat party identification, and a conservative political ideology."
1028,21,18-29,female,White,Some college / Associate,150k+,High,Democrat,Conservative,"21-year-old White female American with some college / associate education, 150k+ income, Democrat party identification, and a conservative political ideology."
1029,76,65+,female,White,No HS / HS only,50k-75k,Middle,Republican,Conservative,"76-year-old White female American with no hs / hs only education, 50k-75k income, Republican party identification, and a conservative political ideology."
1030,90,65+,male,White,Bachelor's,50k-75k,Upper-middle,Democrat,Very conservative,"90-year-old White male American with bachelor's education, 50k-75k income, Democrat party identification, and a very conservative political ideology."
1031,62,45-64,female,Hispanic,No HS / HS only,50k-75k,Middle,Republican,Moderate,"62-year-old Hispanic female American with no hs / hs only education, 50k-75k income, Republican party identification, and a moderate political ideology."
1032,20,18-29,male,Hispanic,No HS / HS only,150k+,High,Democrat,Conservative,"20-year-old Hispanic male American with no hs / hs only education, 150k+ income, Democrat party identification, and a conservative political ideology."
1033,36,30-44,male,Asian,Graduate degree,150k+,High,Republican,Moderate,"36-year-old Asian male American with graduate degree education, 150k+ income, Republican party identification, and a moderate political ideology."
1034,58,45-64,male,Black,Graduate degree,<25k,Upper-middle,Independent / Other,Liberal,"58-year-old Black male American with graduate degree education, <25k income, Independent / Other party identification, and a liberal political ideology."
1035,89,65+,male,Asian,Bachelor's,50k-75k,Upper-middle,Republican,Conservative,"89-year-old Asian male American with bachelor's education, 50k-75k income, Republican party identification, and a conservative political ideology."
1036,58,45-64,male,Hispanic,No HS / HS only,<25k,Low,Independent / Other,Moderate,"58-year-old Hispanic male American with no hs / hs only education, <25k income, Independent / Other party identification, and a moderate political ideology."
1037,49,45-64,male,White,Some college / Associate,75k-100k,Upper-middle,Democrat,Moderate,"49-year-old White male American with some college / associate education, 75k-100k income, Democrat party identification, and a moderate political ideology."
1038,65,65+,male,White,No HS / HS only,75k-100k,Upper-middle,Republican,Conservative,"65-year-old White male American with no hs / hs only education, 75k-100k income, Republican party identification, and a conservative political ideology."
1039,21,18-29,male,Black,No HS / HS only,50k-75k,Middle,Independent / Other,Moderate,"21-year-old Black male American with no hs / hs only education, 50k-75k income, Independent / Other party identification, and a moderate political ideology."
1040,83,65+,male,White,Some college / Associate,100k-150k,Upper-middle,Independent / Other,Very liberal,"83-year-old White male American with some college / associate education, 100k-150k income, Independent / Other party identification, and a very liberal political ideology."
1041,56,45-64,male,Black,No HS / HS only,25k-50k,Lower-middle,Independent / Other,Conservative,"56-year-old Black male American with no hs / hs only education, 25k-50k income, Independent / Other party identification, and a conservative political ideology."
1042,25,18-29,female,White,No HS / HS only,75k-100k,Upper-middle,Republican,Moderate,"25-year-old White female American with no hs / hs only education, 75k-100k income, Republican party identification, and a moderate political ideology."
1043,23,18-29,male,White,No HS / HS only,50k-75k,Middle,Republican,Very liberal,"23-year-old White male American with no hs / hs only education, 50k-75k income, Republican party identification, and a very liberal political ideology."
1044,33,30-44,male,White,No HS / HS only,75k-100k,Upper-middle,Democrat,Very conservative,"33-year-old White male American with no hs / hs only education, 75k-100k income, Democrat party identification, and a very conservative political ideology."
1045,64,45-64,female,White,Some college / Associate,<25k,Low,Democrat,Liberal,"64-year-old White female American with some college / associate education, <25k income, Democrat party identification, and a liberal political ideology."
1046,21,18-29,female,White,Bachelor's,<25k,Upper-middle,Democrat,Conservative,"21-year-old White female American with bachelor's education, <25k income, Democrat party identification, and a conservative political ideology."
1047,46,45-64,female,White,Some college / Associate,<25k,Low,Independent / Other,Very conservative,"46-year-old White female American with some college / associate education, <25k income, Independent / Other party identification, and a very conservative political ideology."
1048,80,65+,male,Hispanic,Some college / Associate,25k-50k,Lower-middle,Independent / Other,Moderate,"80-year-old Hispanic male American with some college / associate education, 25k-50k income, Independent / Other party identification, and a moderate political ideology."
1049,35,30-44,female,Hispanic,No HS / HS only,<25k,Low,Republican,Moderate,"35-year-old Hispanic female American with no hs / hs only education, <25k income, Republican party identification, and a moderate political ideology."
1050,41,30-44,female,White,Bachelor's,150k+,High,Democrat,Liberal,"41-year-old White female American with bachelor's education, 150k+ income, Democrat party identification, and a liberal political ideology."
1051,89,65+,male,Black,No HS / HS only,75k-100k,Upper-middle,Independent / Other,Moderate,"89-year-old Black male American with no hs / hs only education, 75k-100k income, Independent / Other party identification, and a moderate political ideology."
1052,28,18-29,female,Asian,Bachelor's,<25k,Upper-middle,Republican,Very liberal,"28-year-old Asian female American with bachelor's education, <25k income, Republican party identification, and a very liberal political ideology."
1053,37,30-44,male,White,Some college / Associate,75k-100k,Upper-middle,Independent / Other,Moderate,"37-year-old White male American with some college / associate education, 75k-100k income, Independent / Other party identification, and a moderate political ideology."
1054,80,65+,male,Other / Mixed,Bachelor's,150k+,High,Independent / Other,Liberal,"80-year-old Other / Mixed male American with bachelor's education, 150k+ income, Independent / Other party identification, and a liberal political ideology."
1055,26,18-29,female,Black,Bachelor's,75k-100k,Upper-middle,Democrat,Moderate,"26-year-old Black female American with bachelor's education, 75k-100k income, Democrat party identification, and a moderate political ideology."
1056,82,65+,female,Other / Mixed,Some college / Associate,100k-150k,Upper-middle,Independent / Other,Moderate,"82-year-old Other / Mixed female American with some college / associate education, 100k-150k income, Independent / Other party identification, and a moderate political ideology."
1057,32,30-44,male,Hispanic,Some college / Associate,<25k,Low,Republican,Conservative,"32-year-old Hispanic male American with some college / associate education, <25k income, Republican party identification, and a conservative political ideology."
1058,77,65+,female,Hispanic,No HS / HS only,25k-50k,Lower-middle,Republican,Very conservative,"77-year-old Hispanic female American with no hs / hs only education, 25k-50k income, Republican party identification, and a very conservative political ideology."
1059,26,18-29,female,Hispanic,Some college / Associate,100k-150k,Upper-middle,Republican,Liberal,"26-year-old Hispanic female American with some college / associate education, 100k-150k income, Republican party identification, and a liberal political ideology."
1060,67,65+,male,Hispanic,No HS / HS only,75k-100k,Upper-middle,Independent / Other,Moderate,"67-year-old Hispanic male American with no hs / hs only education, 75k-100k income, Independent / Other party identification, and a moderate political ideology."
1061,58,45-64,male,Black,No HS / HS only,<25k,Low,Democrat,Very liberal,"58-year-old Black male American with no hs / hs only education, <25k income, Democrat party identification, and a very liberal political ideology."
1062,88,65+,male,Asian,Some college / Associate,<25k,Low,Democrat,Moderate,"88-year-old Asian male American with some college / associate education, <25k income, Democrat party identification, and a moderate political ideology."
1063,39,30-44,male,White,Bachelor's,150k+,High,Democrat,Moderate,"39-year-old White male American with bachelor's education, 150k+ income, Democrat party identification, and a moderate political ideology."
1064,61,45-64,male,Hispanic,Some college / Associate,<25k,Low,Democrat,Conservative,"61-year-old Hispanic male American with some college / associate education, <25k income, Democrat party identification, and a conservative political ideology."
1065,74,65+,female,Black,Some college / Associate,50k-75k,Middle,Independent / Other,Liberal,"74-year-old Black female American with some college / associate education, 50k-75k income, Independent / Other party identification, and a liberal political ideology."
1066,87,65+,male,White,No HS / HS only,50k-75k,Middle,Independent / Other,Liberal,"87-year-old White male American with no hs / hs only education, 50k-75k income, Independent / Other party identification, and a liberal political ideology."
1067,51,45-64,male,White,Bachelor's,25k-50k,Upper-middle,Independent / Other,Moderate,"51-year-old White male American with bachelor's education, 25k-50k income, Independent / Other party identification, and a moderate political ideology."
1068,41,30-44,male,Asian,No HS / HS only,75k-100k,Upper-middle,Independent / Other,Conservative,"41-year-old Asian male American with no hs / hs only education, 75k-100k income, Independent / Other party identification, and a conservative political ideology."
1069,54,45-64,male,Other / Mixed,Some college / Associate,100k-150k,Upper-middle,Independent / Other,Moderate,"54-year-old Other / Mixed male American with some college / associate education, 100k-150k income, Independent / Other party identification, and a moderate political ideology."
1070,56,45-64,female,Hispanic,Some college / Associate,50k-75k,Middle,Democrat,Conservative,"56-year-old Hispanic female American with some college / associate education, 50k-75k income, Democrat party identification, and a conservative political ideology."
1071,77,65+,female,White,No HS / HS only,100k-150k,Upper-middle,Independent / Other,Very liberal,"77-year-old White female American with no hs / hs only education, 100k-150k income, Independent / Other party identification, and a very liberal political ideology."
1072,40,30-44,male,White,No HS / HS only,75k-100k,Upper-middle,Democrat,Liberal,"40-year-old White male American with no hs / hs only education, 75k-100k income, Democrat party identification, and a liberal political ideology."
1073,45,45-64,female,White,Bachelor's,<25k,Upper-middle,Independent / Other,Conservative,"45-year-old White female American with bachelor's education, <25k income, Independent / Other party identification, and a conservative political ideology."
1074,86,65+,female,Black,Graduate degree,<25k,Upper-middle,Independent / Other,Liberal,"86-year-old Black female American with graduate degree education, <25k income, Independent / Other party identification, and a liberal political ideology."
1075,85,65+,female,White,Some college / Associate,<25k,Low,Independent / Other,Liberal,"85-year-old White female American with some college / associate education, <25k income, Independent / Other party identification, and a liberal political ideology."
1076,34,30-44,female,Hispanic,Graduate degree,75k-100k,Upper-middle,Republican,Conservative,"34-year-old Hispanic female American with graduate degree education, 75k-100k income, Republican party identification, and a conservative political ideology."
1077,59,45-64,male,Black,Some college / Associate,25k-50k,Lower-middle,Independent / Other,Moderate,"59-year-old Black male American with some college / associate education, 25k-50k income, Independent / Other party identification, and a moderate political ideology."
1078,25,18-29,female,Hispanic,Graduate degree,25k-50k,Upper-middle,Republican,Very conservative,"25-year-old Hispanic female American with graduate degree education, 25k-50k income, Republican party identification, and a very conservative political ideology."
1079,48,45-64,female,Black,No HS / HS only,50k-75k,Middle,Independent / Other,Moderate,"48-year-old Black female American with no hs / hs only education, 50k-75k income, Independent / Other party identification, and a moderate political ideology."
1080,19,18-29,male,Hispanic,Bachelor's,50k-75k,Upper-middle,Republican,Conservative,"19-year-old Hispanic male American with bachelor's education, 50k-75k income, Republican party identification, and a conservative political ideology."
1081,90,65+,female,Black,Some college / Associate,50k-75k,Middle,Republican,Conservative,"90-year-old Black female American with some college / associate education, 50k-75k income, Republican party identification, and a conservative political ideology."
1082,21,18-29,male,Other / Mixed,Graduate degree,25k-50k,Upper-middle,Republican,Liberal,"21-year-old Other / Mixed male American with graduate degree education, 25k-50k income, Republican party identification, and a liberal political ideology."
1083,68,65+,male,White,Some college / Associate,75k-100k,Upper-middle,Democrat,Liberal,"68-year-old White male American with some college / associate education, 75k-100k income, Democrat party identification, and a liberal political ideology."
1084,19,18-29,male,White,No HS / HS only,50k-75k,Middle,Republican,Very conservative,"19-year-old White male American with no hs / hs only education, 50k-75k income, Republican party identification, and a very conservative political ideology."
1085,38,30-44,female,Asian,No HS / HS only,50k-75k,Middle,Democrat,Moderate,"38-year-old Asian female American with no hs / hs only education, 50k-75k income, Democrat party identification, and a moderate political ideology."
1086,76,65+,female,Hispanic,Some college / Associate,75k-100k,Upper-middle,Independent / Other,Very liberal,"76-year-old Hispanic female American with some college / associate education, 75k-100k income, Independent / Other party identification, and a very liberal political ideology."
1087,21,18-29,female,Asian,Some college / Associate,25k-50k,Lower-middle,Republican,Liberal,"21-year-old Asian female American with some college / associate education, 25k-50k income, Republican party identification, and a liberal political ideology."
1088,22,18-29,male,White,Some college / Associate,<25k,Low,Republican,Very conservative,"22-year-old White male American with some college / associate education, <25k income, Republican party identification, and a very conservative political ideology."
1089,69,65+,male,White,No HS / HS only,75k-100k,Upper-middle,Independent / Other,Conservative,"69-year-old White male American with no hs / hs only education, 75k-100k income, Independent / Other party identification, and a conservative political ideology."
1090,40,30-44,female,Hispanic,Some college / Associate,<25k,Low,Independent / Other,Liberal,"40-year-old Hispanic female American with some college / associate education, <25k income, Independent / Other party identification, and a liberal political ideology."
1091,39,30-44,male,White,No HS / HS only,50k-75k,Middle,Independent / Other,Moderate,"39-year-old White male American with no hs / hs only education, 50k-75k income, Independent / Other party identification, and a moderate political ideology."
1092,23,18-29,female,Hispanic,No HS / HS only,100k-150k,Upper-middle,Democrat,Very liberal,"23-year-old Hispanic female American with no hs / hs only education, 100k-150k income, Democrat party identification, and a very liberal political ideology."
1093,31,30-44,male,Black,No HS / HS only,50k-75k,Middle,Independent / Other,Moderate,"31-year-old Black male American with no hs / hs only education, 50k-75k income, Independent / Other party identification, and a moderate political ideology."
1094,23,18-29,male,Hispanic,Bachelor's,50k-75k,Upper-middle,Independent / Other,Very conservative,"23-year-old Hispanic male American with bachelor's education, 50k-75k income, Independent / Other party identification, and a very conservative political ideology."
1095,77,65+,female,White,Bachelor's,75k-100k,Upper-middle,Independent / Other,Moderate,"77-year-old White female American with bachelor's education, 75k-100k income, Independent / Other party identification, and a moderate political ideology."
1096,39,30-44,male,White,No HS / HS only,50k-75k,Middle,Democrat,Liberal,"39-year-old White male American with no hs / hs only education, 50k-75k income, Democrat party identification, and a liberal political ideology."
1097,46,45-64,female,Asian,Some college / Associate,25k-50k,Lower-middle,Independent / Other,Conservative,"46-year-old Asian female American with some college / associate education, 25k-50k income, Independent / Other party identification, and a conservative political ideology."
1098,37,30-44,female,Other / Mixed,Bachelor's,50k-75k,Upper-middle,Democrat,Moderate,"37-year-old Other / Mixed female American with bachelor's education, 50k-75k income, Democrat party identification, and a moderate political ideology."
1099,72,65+,male,White,Bachelor's,150k+,High,Republican,Liberal,"72-year-old White male American with bachelor's education, 150k+ income, Republican party identification, and a liberal political ideology."
1100,29,18-29,female,White,No HS / HS only,50k-75k,Middle,Democrat,Liberal,"29-year-old White female American with no hs / hs only education, 50k-75k income, Democrat party identification, and a liberal political ideology."
1101,65,65+,male,Other / Mixed,Some college / Associate,50k-75k,Middle,Independent / Other,Moderate,"65-year-old Other / Mixed male American with some college / associate education, 50k-75k income, Independent / Other party identification, and a moderate political ideology."
1102,82,65+,male,Hispanic,Some college / Associate,75k-100k,Upper-middle,Independent / Other,Conservative,"82-year-old Hispanic male American with some college / associate education, 75k-100k income, Independent / Other party identification, and a conservative political ideology."
1103,56,45-64,male,White,Bachelor's,150k+,High,Independent / Other,Very conservative,"56-year-old White male American with bachelor's education, 150k+ income, Independent / Other party identification, and a very conservative political ideology."
1104,64,45-64,male,White,No HS / HS only,150k+,High,Independent / Other,Very conservative,"64-year-old White male American with no hs / hs only education, 150k+ income, Independent / Other party identification, and a very conservative political ideology."
1105,32,30-44,female,White,Graduate degree,50k-75k,Upper-middle,Republican,Moderate,"32-year-old White female American with graduate degree education, 50k-75k income, Republican party identification, and a moderate political ideology."
1106,72,65+,female,Black,Bachelor's,100k-150k,High,Democrat,Moderate,"72-year-old Black female American with bachelor's education, 100k-150k income, Democrat party identification, and a moderate political ideology."
1107,28,18-29,female,White,No HS / HS only,25k-50k,Lower-middle,Independent / Other,Moderate,"28-year-old White female American with no hs / hs only education, 25k-50k income, Independent / Other party identification, and a moderate political ideology."
1108,25,18-29,male,Black,Bachelor's,<25k,Upper-middle,Democrat,Moderate,"25-year-old Black male American with bachelor's education, <25k income, Democrat party identification, and a moderate political ideology."
1109,23,18-29,female,Black,No HS / HS only,25k-50k,Lower-middle,Democrat,Moderate,"23-year-old Black female American with no hs / hs only education, 25k-50k income, Democrat party identification, and a moderate political ideology."
1110,49,45-64,female,White,Graduate degree,<25k,Upper-middle,Independent / Other,Liberal,"49-year-old White female American with graduate degree education, <25k income, Independent / Other party identification, and a liberal political ideology."
1111,35,30-44,female,White,No HS / HS only,100k-150k,Upper-middle,Democrat,Moderate,"35-year-old White female American with no hs / hs only education, 100k-150k income, Democrat party identification, and a moderate political ideology."
1112,23,18-29,male,Hispanic,No HS / HS only,100k-150k,Upper-middle,Independent / Other,Very liberal,"23-year-old Hispanic male American with no hs / hs only education, 100k-150k income, Independent / Other party identification, and a very liberal political ideology."
1113,24,18-29,female,Hispanic,Graduate degree,<25k,Upper-middle,Democrat,Moderate,"24-year-old Hispanic female American with graduate degree education, <25k income, Democrat party identification, and a moderate political ideology."
1114,36,30-44,male,White,Some college / Associate,75k-100k,Upper-middle,Democrat,Conservative,"36-year-old White male American with some college / associate education, 75k-100k income, Democrat party identification, and a conservative political ideology."
1115,41,30-44,male,Asian,Bachelor's,25k-50k,Upper-middle,Democrat,Very liberal,"41-year-old Asian male American with bachelor's education, 25k-50k income, Democrat party identification, and a very liberal political ideology."
1116,26,18-29,female,White,Bachelor's,<25k,Upper-middle,Independent / Other,Moderate,"26-year-old White female American with bachelor's education, <25k income, Independent / Other party identification, and a moderate political ideology."
1117,25,18-29,male,White,Some college / Associate,100k-150k,Upper-middle,Democrat,Liberal,"25-year-old White male American with some college / associate education, 100k-150k income, Democrat party identification, and a liberal political ideology."
1118,42,30-44,male,White,No HS / HS only,75k-100k,Upper-middle,Independent / Other,Moderate,"42-year-old White male American with no hs / hs only education, 75k-100k income, Independent / Other party identification, and a moderate political ideology."
1119,48,45-64,female,Hispanic,Some college / Associate,25k-50k,Lower-middle,Independent / Other,Moderate,"48-year-old Hispanic female American with some college / associate education, 25k-50k income, Independent / Other party identification, and a moderate political ideology."
1120,32,30-44,male,White,No HS / HS only,25k-50k,Lower-middle,Democrat,Very liberal,"32-year-old White male American with no hs / hs only education, 25k-50k income, Democrat party identification, and a very liberal political ideology."
1121,77,65+,female,White,No HS / HS only,75k-100k,Upper-middle,Democrat,Moderate,"77-year-old White female American with no hs / hs only education, 75k-100k income, Democrat party identification, and a moderate political ideology."
1122,46,45-64,female,White,No HS / HS only,25k-50k,Lower-middle,Republican,Moderate,"46-year-old White female American with no hs / hs only education, 25k-50k income, Republican party identification, and a moderate political ideology."
1123,18,18-29,female,White,Some college / Associate,25k-50k,Lower-middle,Democrat,Liberal,"18-year-old White female American with some college / associate education, 25k-50k income, Democrat party identification, and a liberal political ideology."
1124,34,30-44,male,Asian,No HS / HS only,25k-50k,Lower-middle,Democrat,Very liberal,"34-year-old Asian male American with no hs / hs only education, 25k-50k income, Democrat party identification, and a very liberal political ideology."
1125,75,65+,male,White,Bachelor's,75k-100k,Upper-middle,Republican,Moderate,"75-year-old White male American with bachelor's education, 75k-100k income, Republican party identification, and a moderate political ideology."
1126,39,30-44,female,White,Graduate degree,<25k,Upper-middle,Independent / Other,Liberal,"39-year-old White female American with graduate degree education, <25k income, Independent / Other party identification, and a liberal political ideology."
